x	y
956.1	515.3
955.1	515.6
955.8	515.6
956.1	515.5
956.1	515.5
956.1	515.6
956.4	515.5
957.1	515.3
957.1	514.7
957.1	514.7
957.7	514.7
958.7	515.6
959.7	515.8
960.0	515.8
960.0	515.9
960.0	515.9
960.0	515.9
960.0	515.9
960.0	515.9
960.0	515.9
960.0	515.9
960.0	515.9
960.1	515.9
960.1	515.9
960.8	515.9
961.0	515.9
961.0	515.8
961.1	515.8
961.9	515.8
961.9	515.8
962.1	516.5
962.1	516.3
962.0	516.7
962.1	516.7
962.1	516.7
962.1	516.7
962.1	516.7
962.1	516.7
962.4	516.7
962.3	516.7
962.3	516.7
962.1	516.7
962.3	516.7
962.3	516.7
962.4	516.7
962.4	516.7
962.7	516.7
962.8	516.7
962.9	516.7
962.9	516.7
962.7	516.7
962.8	516.7
962.7	516.7
962.9	516.7
962.5	516.7
962.7	516.7
962.6	516.7
962.4	516.7
962.5	516.7
962.5	516.7
962.6	516.7
962.3	516.7
962.3	516.6
962.1	516.1
962.1	516.0
962.1	515.9
962.3	515.8
962.1	515.8
962.1	515.8
962.1	515.8
962.1	515.8
962.1	515.8
962.1	515.8
962.1	515.8
962.1	515.8
962.1	515.8
962.1	515.8
962.1	515.8
962.1	515.8
962.1	515.8
962.1	515.8
962.1	515.8
962.1	515.8
962.1	515.8
962.1	515.8
962.1	515.8
962.1	515.8
962.1	515.8
962.1	515.8
962.1	515.8
962.1	515.8
962.1	515.8
962.1	515.8
962.1	515.8
962.1	515.8
962.1	515.8
962.1	515.8
962.1	515.8
962.1	515.8
962.1	515.8
962.1	515.8
962.1	515.8
962.1	515.8
962.1	515.8
962.1	515.8
962.1	515.8
962.1	515.8
962.1	515.8
962.1	515.8
962.1	515.8
962.1	515.8
962.1	515.8
962.1	515.8
962.1	515.8
962.1	515.8
962.1	515.8
962.1	515.8
962.1	515.8
962.1	515.8
962.1	515.8
962.1	515.8
962.1	515.8
962.1	515.8
962.1	515.8
962.1	515.8
962.1	515.8
962.1	515.8
962.1	515.8
962.1	515.8
962.1	515.8
962.1	515.8
962.1	515.8
962.1	515.8
962.1	515.8
962.1	515.8
962.1	515.8
962.1	515.8
962.1	515.8
962.1	515.8
962.1	515.8
962.1	515.8
962.1	515.8
962.1	515.8
962.1	515.8
962.0	515.8
962.0	515.8
962.0	515.8
962.0	515.8
962.0	515.8
962.1	515.8
962.1	515.8
962.1	515.8
962.0	515.8
962.1	515.8
962.1	515.8
962.1	515.8
962.0	515.8
961.9	515.8
961.9	515.8
961.7	515.8
961.1	515.8
961.0	515.8
961.0	515.8
961.0	515.8
961.0	515.8
961.0	515.8
961.0	515.9
961.0	515.9
961.0	515.8
961.0	515.9
961.0	515.8
961.0	515.9
960.7	515.9
957.7	514.3
921.1	514.6
921.1	514.7
921.1	514.7
921.0	514.7
921.0	514.7
921.0	514.7
921.0	514.7
921.0	514.7
921.0	514.7
921.0	514.7
920.9	514.8
920.9	514.8
920.7	514.8
920.7	514.8
920.7	514.8
920.5	514.8
920.1	514.8
920.2	514.8
920.1	514.8
920.1	514.8
920.2	514.8
920.1	514.8
920.1	514.8
920.1	514.8
920.1	514.8
920.1	514.8
920.1	514.8
920.1	514.8
920.1	514.8
920.1	514.8
920.1	514.8
920.1	514.8
920.1	514.8
920.1	514.8
920.1	514.8
920.1	514.8
920.1	514.8
920.1	514.6
920.1	514.7
920.1	514.8
920.1	514.7
920.1	514.7
920.1	514.8
920.1	514.7
920.1	514.8
920.3	514.8
920.7	514.8
920.9	514.8
921.0	514.8
879.1	514.7
879.1	514.8
879.0	514.8
879.0	514.8
878.9	514.8
879.0	514.8
878.9	514.8
878.9	514.8
878.8	514.8
878.5	514.8
878.3	514.8
878.2	514.8
878.1	514.8
878.1	514.8
878.1	514.8
878.1	514.8
878.1	514.8
878.1	514.8
878.1	514.8
878.1	514.8
878.1	514.8
878.1	514.8
878.1	514.8
878.1	514.8
878.1	514.5
878.1	514.8
878.1	514.8
878.1	514.8
878.1	514.8
878.1	514.8
878.1	514.8
878.1	514.8
878.0	514.8
878.0	514.8
878.1	514.8
878.0	514.8
878.0	514.8
878.1	514.8
878.0	514.9
878.1	514.9
878.1	514.9
878.0	514.8
878.1	514.9
878.1	514.9
878.0	514.9
878.1	514.8
878.0	514.9
878.1	514.9
878.1	514.9
878.1	514.9
878.0	514.9
878.0	514.9
878.1	514.9
878.0	514.8
878.1	514.8
878.1	514.8
878.1	514.8
878.3	514.8
836.3	516.5
836.0	515.9
836.0	515.9
835.5	515.9
835.1	515.9
835.1	515.9
835.1	515.9
835.1	515.9
835.1	515.9
835.1	515.9
835.1	515.9
835.0	515.9
835.0	515.9
835.1	515.9
835.0	515.9
835.0	515.9
835.0	515.9
835.0	515.9
835.0	515.9
835.0	515.9
835.0	515.9
835.0	515.9
835.0	515.9
835.0	515.9
835.0	515.9
835.0	515.9
835.0	515.9
835.0	515.9
835.0	515.9
835.0	515.9
835.0	515.9
835.0	515.9
835.0	515.9
835.0	515.9
835.0	515.9
835.0	515.9
835.0	515.9
835.0	515.9
835.0	515.9
835.0	515.9
835.0	515.9
835.0	515.9
835.0	515.9
835.0	515.9
835.0	515.9
835.0	515.9
835.0	515.9
835.0	515.9
835.0	515.9
835.0	515.9
835.0	515.9
835.0	515.9
835.0	515.9
835.0	515.9
835.0	515.9
835.1	515.9
835.1	515.9
794.0	515.8
794.0	515.9
793.9	515.9
793.7	515.9
793.5	515.9
793.1	515.9
793.1	515.9
793.1	515.9
793.0	515.9
793.1	515.9
793.1	515.9
793.0	515.9
793.0	515.9
793.0	515.9
793.0	515.9
793.0	515.9
793.1	515.9
793.0	515.8
793.1	515.9
793.0	515.3
793.0	515.5
793.0	515.1
793.0	514.9
793.0	514.9
793.0	514.9
793.0	514.9
793.0	514.9
793.0	514.9
793.0	514.9
793.0	514.9
793.0	514.9
793.0	514.9
793.0	514.9
793.0	514.9
793.0	514.9
793.0	514.9
793.0	514.9
793.0	514.9
793.0	514.9
793.0	514.9
793.0	514.9
793.0	514.9
793.0	514.9
793.0	514.9
793.0	514.9
793.1	514.9
793.0	514.9
793.0	514.9
793.1	514.9
793.1	515.2
793.1	515.9
793.1	515.9
794.1	514.4
753.4	515.7
751.1	515.3
751.0	514.9
751.0	514.8
750.9	514.9
751.0	514.9
751.0	514.9
751.0	514.9
751.0	514.9
751.0	514.9
751.0	514.9
751.0	514.9
751.0	514.9
751.0	514.9
751.0	514.9
751.0	514.9
751.0	514.9
751.0	514.9
751.0	514.9
751.0	514.9
751.0	514.9
751.0	514.9
751.0	514.9
751.0	514.9
751.0	514.9
751.0	514.9
751.0	514.9
751.0	514.9
751.0	514.9
751.0	514.9
751.0	514.9
751.0	514.9
751.0	514.9
751.0	514.9
751.0	514.9
751.0	514.9
751.0	514.9
751.0	514.9
751.0	514.9
751.0	514.9
751.0	514.9
751.0	514.9
751.0	514.9
751.0	514.9
751.0	514.9
751.0	514.9
751.0	514.9
751.0	514.9
751.0	514.9
751.0	514.9
751.0	514.9
751.0	514.9
751.0	514.9
751.0	514.9
751.0	514.9
751.0	514.9
751.0	514.9
751.0	514.9
751.0	514.9
751.0	514.9
751.0	514.9
751.0	514.9
751.0	515.5
710.1	515.7
709.0	514.9
708.2	514.9
708.1	514.9
708.1	514.9
708.1	514.9
708.1	514.9
708.0	514.9
708.1	514.9
708.1	514.9
708.1	514.9
708.1	514.9
708.1	514.9
708.0	514.9
708.1	514.9
708.1	514.9
708.0	514.9
708.1	514.9
708.0	514.9
708.0	514.9
708.0	514.9
708.0	514.9
708.0	514.9
708.0	514.9
708.0	514.9
708.0	514.9
708.0	514.9
708.0	514.9
708.0	514.9
708.0	514.9
708.0	514.9
708.0	514.9
708.0	514.9
708.0	514.9
708.1	514.9
708.0	514.9
708.0	514.7
708.0	514.7
708.0	514.6
708.0	514.7
708.0	514.4
708.0	514.4
