x;y
499.0;510.0
499.0;510.0
499.0;510.0
499.0;510.0
499.0;510.0
499.0;510.0
499.0;510.0
499.0;510.0
499.0;510.0
499.0;510.0
499.0;510.0
499.0;510.0
499.0;510.0
499.0;510.0
499.0;510.0
499.0;510.0
499.0;510.0
499.0;510.0
499.0;510.0
499.0;510.0
...;...
499.0;510.0
499.0;510.0
499.0;510.0
499.0;510.0
499.0;510.0
499.0;510.0
499.0;510.0
499.0;510.0
499.0;510.0
499.0;510.0
499.0;510.0
499.0;510.0
499.0;510.0
499.0;510.0
499.0;510.0
499.0;510.0
499.0;510.0
499.0;510.0
499.0;510.0
